,Algeria,Argentina,Australia,Austria,Belgium,Brazil,Canada,Cape Verde,Colombia,Croatia,Curacao,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Switzerland,Tunisia,USA,Uruguay,Uzbekistan
Algeria,,0.000,,0.000,0.000,0.000,,0.500,1.000,,,,0.500,0.000,0.000,0.000,0.400,,0.667,0.231,,0.000,0.000,0.125,,,,,,0.000,0.750,0.500,,0.600,0.200,1.000,,,0.412,0.000,0.500,
Argentina,0.500,,0.875,0.000,1.000,0.350,1.000,,0.424,0.500,1.000,0.536,1.000,0.000,0.500,0.417,1.000,1.000,1.000,1.000,0.857,0.000,0.600,1.000,0.000,,0.000,1.000,0.407,0.500,1.000,0.333,0.500,,0.500,1.000,0.333,0.500,1.000,0.500,0.560,
Australia,,0.000,,,0.000,0.167,0.750,,0.000,0.333,1.000,0.333,0.000,0.250,0.167,0.200,0.571,,0.000,,0.217,0.625,0.500,,0.250,0.870,0.333,,0.333,,0.600,0.455,0.333,,0.429,0.222,0.000,0.000,0.500,0.200,0.429,0.600
Austria,0.000,0.000,,,0.000,0.000,0.000,,,0.143,,,0.000,0.000,0.100,0.167,0.500,,1.000,0.500,0.000,0.000,,,0.300,,0.333,,0.000,0.000,,,0.111,,,1.000,0.167,0.300,0.500,0.667,0.500,
Belgium,0.667,0.000,1.000,0.500,,0.500,1.000,,0.500,0.333,,,0.200,0.300,0.143,0.111,,,0.000,0.000,0.333,,0.250,0.500,0.231,0.000,0.600,1.000,1.000,0.167,1.000,0.667,0.857,,,0.750,0.000,0.750,0.500,1.000,1.000,
Brazil,1.000,0.400,0.667,1.000,0.500,,0.500,,0.538,0.667,,0.652,1.000,0.429,0.300,0.545,1.000,0.667,1.000,1.000,0.769,,0.536,0.500,0.222,1.000,0.000,0.750,0.500,0.333,1.000,1.000,0.750,0.333,1.000,0.889,0.200,0.500,0.500,0.850,0.400,
Canada,,0.000,0.250,1.000,0.000,0.000,,,0.500,0.000,0.750,0.000,0.000,,0.000,0.000,,0.857,0.333,0.000,0.250,,0.136,0.000,0.000,1.000,,0.429,,0.000,0.500,0.000,0.000,,0.000,0.400,0.000,0.500,0.000,0.182,0.000,1.000
Cape Verde,0.167,,,,,,,,,,,0.000,0.000,,,,0.200,,0.000,,,,,0.000,,,,,,0.333,,0.000,,0.077,0.333,,0.000,,0.000,,0.000,
Colombia,0.000,0.212,0.750,,0.500,0.115,0.000,,,0.000,,0.586,0.000,0.000,0.250,0.200,,1.000,,1.000,0.667,1.000,0.455,1.000,0.000,1.000,0.000,0.600,0.517,0.000,1.000,0.500,1.000,0.667,0.000,0.125,0.500,0.667,0.500,0.611,0.286,0.000
Croatia,,0.333,0.333,0.857,0.333,-0.000,1.000,,1.000,,,0.000,0.500,0.250,0.167,0.400,0.000,,0.500,,0.250,1.000,0.667,0.333,0.667,,0.600,0.000,,0.182,1.000,1.000,0.250,1.000,,0.429,0.250,0.250,0.000,1.000,,
